"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
26091,166,"PRK","North Korea",10,"P'yongan-namdo",140,"Ch'ollima","","Chollima","Gun","County"
26092,166,"PRK","North Korea",10,"P'yongan-namdo",141,"Ch'ongnam","","Chongnam","Gun","County"
26093,166,"PRK","North Korea",10,"P'yongan-namdo",142,"Daean","","","Gun","County"
26094,166,"PRK","North Korea",10,"P'yongan-namdo",143,"Haichang","","","Gun","County"
26095,166,"PRK","North Korea",10,"P'yongan-namdo",144,"Hanggu","","","Gun","County"
26096,166,"PRK","North Korea",10,"P'yongan-namdo",145,"Jungsan","","","Gun","County"
26097,166,"PRK","North Korea",10,"P'yongan-namdo",146,"Kaech'on","","Kaechon","Si","City"
26098,166,"PRK","North Korea",10,"P'yongan-namdo",147,"Kangso","","Kangso","Gun","County"
26099,166,"PRK","North Korea",10,"P'yongan-namdo",148,"Maengsan","","","Gun","County"
26100,166,"PRK","North Korea",10,"P'yongan-namdo",149,"Mundok","","Mundok","Gun","County"
26101,166,"PRK","North Korea",10,"P'yongan-namdo",150,"Nyongwon","","","Gun","County"
26102,166,"PRK","North Korea",10,"P'yongan-namdo",151,"Onch'on","","Onchon","Gun","County"
26103,166,"PRK","North Korea",10,"P'yongan-namdo",152,"P'yongsong","","Pyongsong","Gun","County"
26104,166,"PRK","North Korea",10,"P'yongan-namdo",153,"P'yongwon","","Pyongwon","Gun","County"
26105,166,"PRK","North Korea",10,"P'yongan-namdo",154,"Pukch'ang","","Bukchang","Gun","County"
26106,166,"PRK","North Korea",10,"P'yongan-namdo",155,"Ryonggang","","","Gun","County"
26107,166,"PRK","North Korea",10,"P'yongan-namdo",156,"Songch'on","","Songchon","Gun","County"
26108,166,"PRK","North Korea",10,"P'yongan-namdo",157,"Sinyang","","","Gun","County"
26109,166,"PRK","North Korea",10,"P'yongan-namdo",158,"Sukch'on","","Sukchon","Gun","County"
